run_time,model_name,search_type,grid_version,param_classifier__C,mean_train_score,mean_test_score,std_test_score,rank_test_score,best_params,notes
2026-03-09 03:43:23,SVM_poly,grid,v1_left,1.0,1,0.01,0.6098956457921854,0.4895900557951003,0.01821352062048162,53,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,1.0,1,0.1,0.6230403746272838,0.49940128853077576,0.015899290444971743,38,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,1.0,2,scale,0.728198559033682,0.4878461254017277,0.025769352336673424,55,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,1.0,2,auto,0.728198559033682,0.4878461254017277,0.025769352336673424,55,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,1.0,2,0.001,0.5037415500197032,0.500971767594108,0.003226908993946913,17,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,1.0,2,0.01,0.6522061049777607,0.49532732886999725,0.036975678668441425,48,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,1.0,2,0.1,0.9288742060525187,0.49686745965065277,0.03264647612328072,43,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,1.0,3,scale,0.8057823174091797,0.5144033077429938,0.015361137282868514,4,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,1.0,3,auto,0.8057823174091797,0.5144033077429938,0.015361137282868514,4,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
2026-03-09 03:43:23,SVM_poly,grid,v1_left,1.0,3,0.001,0.5005574136008919,0.5,0.0,21,"{""classifier__C"": 1, ""classifier__degree"": 3, ""classifier__gamma"": 0.1}",
