Metric                         Close PC                       Open PC                        High PC                        Low PC                         Close                          Open                           High                           Low                            Volume                         Daily Range                    Close PC Lag 1                 Close PC Lag 3                 Close PC Lag 7                 Close PC Lag 14                Open PC Lag 1                  Open PC Lag 3                  Open PC Lag 7                  Open PC Lag 14                 High PC Lag 1                  High PC Lag 3                  High PC Lag 7                  High PC Lag 14                 Low PC Lag 1                   Low PC Lag 3                   Low PC Lag 7                   Low PC Lag 14                  Close EMA 7                    Close EMA 14                   Close EMA 28                   Close VOL 7                    Close VOL 14                   Close VOL 28                   Open EMA 7                     Open EMA 14                    Open EMA 28                    Open VOL 7                     Open VOL 14                    Open VOL 28                    High EMA 7                     High EMA 14                    High EMA 28                    High VOL 7                     High VOL 14                    High VOL 28                    Low EMA 7                      Low EMA 14                     Low EMA 28                     Low VOL 7                      Low VOL 14                     Low VOL 28                     Channel Position Close 21      Channel Position Open 7        Channel Position Open 21       Channel Position High 7        Channel Position High 21       Channel Position Low 7         Channel Position Low 21        Rolling VWAP 7                 Rolling VWAP 14                Rolling VWAP 21                Close Z-Score 7                Open Z-Score 7                 High Z-Score 7                 Low Z-Score 7                  Close Z-Score 14               Open Z-Score 14                High Z-Score 14                Low Z-Score 14                 Close Z-Score 28               Open Z-Score 28                High Z-Score 28                Low Z-Score 28                 Open PC Forward Lag            Open Forward Lag               Open PC Lag 1 Forward Lag      Open PC Lag 3 Forward Lag      Open PC Lag 7 Forward Lag      Open PC Lag 14 Forward Lag     Open EMA 7 Forward Lag         Open EMA 14 Forward Lag        Open EMA 28 Forward Lag        Open VOL 7 Forward Lag         Open VOL 14 Forward Lag        Open VOL 28 Forward Lag        Open Z-Score 7 Forward Lag     Open Z-Score 14 Forward Lag    Open Z-Score 28 Forward Lag   
2024-11-14                      0.013771                       0.004509                       0.009795                       0.010056                       227.192474                     224.006885                     227.839542                     223.986971                      44923900                       3.852571                      0.003969                      -0.012029                       0.006486                       0.003643                      -0.002405                      -0.009552                       0.003665                      -0.001044                       0.004699                      -0.012945                       0.005207                       0.010398                      -0.002686                      -0.021686                       0.006509                       0.005079                       224.908876                     225.457402                     226.051183                      2.033768                       3.738612                       4.182631                      223.820790                     224.754764                     225.591197                      1.426486                       4.338528                       4.574611                      226.218241                     226.925743                     227.596330                      1.398272                       3.745461                       4.187304                      222.725000                     223.442806                     224.062546                      1.926726                       4.183142                       4.342284                      0.511149                       0.514080                       0.324246                       1.000000                       0.549113                       0.511555                       0.323077                       224.204504                     225.014485                     227.046109                     1.122841                       0.130457                       1.159504                       0.654982                       0.464095                      -0.172381                       0.243975                       0.130085                       0.272864                      -0.346327                       0.058083                      -0.017404                       0.006133                       225.380644                     0.004509                      -0.002000                       0.003652                       0.015583                       224.210754                     224.838215                     225.576676                      1.142047                       3.835142                       4.516129                      1.024381                       0.141437                      -0.043407                     
2024-11-15                     -0.014109                       0.006133                      -0.008520                      -0.003245                       223.986954                     225.380644                     225.898307                     223.260245                      47923700                       2.638062                      0.013771                       0.000000                      -0.003267                       0.008599                       0.004509                      -0.002000                       0.003652                       0.015583                       0.009795                      -0.000487                       0.009466                       0.006475                       0.010056                       0.008397                       0.000226                       0.012981                       224.678395                     225.261342                     225.908823                      1.587471                       3.189318                       4.198646                      224.210754                     224.838215                     225.576676                      1.142047                       3.835142                       4.516129                      226.138257                     226.788752                     227.479225                      1.304784                       3.252913                       4.146271                      222.858811                     223.418465                     224.007215                      1.582518                       3.544299                       4.307979                      0.323076                       0.664855                       0.404846                       0.735412                       0.435218                       0.375847                       0.280439                       224.613946                     224.561820                     226.771197                    -0.435562                       1.024381                      -0.183900                       0.253668                      -0.399580                       0.141437                      -0.273738                      -0.044641                      -0.457735                      -0.043407                      -0.381287                      -0.173392                      -0.005079                       224.235830                     0.006133                      -0.002405                       0.009074                      -0.000943                       224.217023                     224.757897                     225.484204                      1.082265                       3.197317                       4.509071                      0.017378                      -0.163283                      -0.276858                     
2024-11-18                      0.013422                      -0.005079                       0.012427                       0.004013                       226.993362                     224.235830                     228.705619                     224.156188                      44633700                       4.549431                     -0.014109                       0.003969                       0.021372                       0.001157                       0.006133                      -0.002405                       0.009074                      -0.000943                      -0.008520                       0.004699                       0.008006                      -0.001704                      -0.003245                      -0.002686                       0.015281                      -0.000989                       225.257137                     225.492278                     225.983619                      1.722516                       2.429291                       4.199517                      224.217023                     224.757897                     225.484204                      1.082265                       3.197317                       4.509071                      226.780098                     227.044334                     227.563804                      1.634131                       2.743018                       4.144870                      223.183156                     223.516828                     224.017489                      1.646615                       2.721774                       4.298021                      0.499466                       0.455096                       0.337678                       1.000000                       0.599927                       0.445387                       0.333006                       224.801047                     224.291820                     226.412482                     1.007959                       0.017378                       1.178315                       0.590929                       0.617910                      -0.163283                       0.605641                       0.234906                       0.240443                      -0.276858                       0.275477                       0.032271                       0.007680                       225.958047                    -0.005079                       0.004509                       0.012420                      -0.002102                       224.652279                     224.917917                     225.516882                      1.030403                       2.482057                       4.513990                      1.267240                       0.419060                       0.097733                     
2024-11-19                      0.001140                       0.007680                       0.001828                       0.006617                       227.252197                     225.958047                     229.123738                     225.639496                      36211800                       3.484242                      0.013422                       0.013771                      -0.001188                      -0.015278                      -0.005079                       0.004509                       0.012420                      -0.002102                       0.012427                       0.009795                       0.004527                      -0.003670                       0.004013                       0.010056                       0.009303                      -0.011923                       225.755902                     225.726934                     226.071107                      1.909463                       2.235216                       4.200257                      224.652279                     224.917917                     225.516882                      1.030403                       2.482057                       4.513990                      227.366008                     227.321588                     227.671385                      1.894707                       2.312762                       4.140117                      223.797241                     223.799850                     224.129351                      1.706951                       2.357148                       4.298200                      0.534291                       0.632794                       0.455464                       1.000000                       0.648287                       0.595843                       0.436061                       224.911579                     224.063837                     226.126661                     0.783621                       1.267240                       0.927706                       1.079267                       0.682378                       0.419060                       0.779220                       0.780454                       0.281195                       0.097733                       0.350800                       0.351343                       0.004758                       227.033178                     0.007680                       0.006133                      -0.009552                      -0.014058                       225.247504                     225.199952                     225.621455                      1.438135                       2.349281                       4.512169                      1.241660                       0.780335                       0.312870                     
2024-11-20                      0.003154                       0.004758                      -0.000999                      -0.003397                       227.968948                     227.033178                     228.894754                     224.872950                      35169600                       4.021804                      0.001140                      -0.014109                      -0.012029                      -0.018209                       0.007680                       0.006133                      -0.009552                      -0.014058                       0.001828                      -0.008520                      -0.012945                      -0.015591                       0.006617                      -0.003245                      -0.021686                      -0.018210                       226.309164                     226.025869                     226.201992                      1.957200                       2.451633                       4.191750                      225.247504                     225.199952                     225.621455                      1.438135                       2.349281                       4.512169                      227.748194                     227.531343                     227.755756                      1.839105                       2.345490                       4.134788                      224.066168                     223.942930                     224.180634                      1.366556                       2.411127                       4.301835                      0.618402                       0.716215                       0.557414                       0.968916                       0.678740                       0.422972                       0.416624                       225.484681                     224.067632                     225.854278                     0.848040                       1.241660                       0.623434                       0.590376                       0.792565                       0.780335                       0.581290                       0.385720                       0.421532                       0.312870                       0.275467                       0.160935                       0.003596                       227.849484                     0.004758                      -0.005079                      -0.002000                      -0.036496                       225.897999                     225.553223                     225.775112                      1.732644                       2.367251                       4.513386                      1.126305                       0.970012                       0.459604                     
2024-11-21                     -0.002096                       0.003596                       0.001000                      -0.000797                       227.491104                     227.849484                     229.123719                     224.693758                      42108300                       4.429961                      0.003154                       0.013422                       0.000000                      -0.013280                       0.004758                      -0.005079                      -0.002000                      -0.036496                      -0.000999                       0.012427                      -0.000487                      -0.019493                      -0.003397                       0.004013                       0.008397                      -0.022629                       226.604649                     226.221234                     226.290897                      1.655120                       2.438162                       4.167892                      225.897999                     225.553223                     225.775112                      1.732644                       2.367251                       4.513386                      228.092076                     227.743660                     227.850098                      1.516467                       2.429523                       4.128883                      224.223066                     224.043041                     224.216022                      1.259283                       2.287880                       4.296133                      0.603289                       0.827025                       0.627284                       0.999998                       0.712597                       0.398648                       0.415999                       225.995610                     224.557670                     225.677743                     0.535584                       1.126305                       0.680294                       0.373778                       0.520831                       0.970012                       0.568037                       0.284419                       0.287965                       0.459604                       0.308466                       0.111202                      -0.003583                       227.033174                     0.003596                       0.007680                      -0.002405                       0.000091                       226.181793                     225.750550                     225.861875                      1.471369                       2.148971                       4.405514                      0.578632                       0.596855                       0.265871                     
2024-11-22                      0.005908                      -0.003583                       0.002433                       0.010412                       228.835022                     227.033174                     229.681201                     227.033174                      38168300                       2.648027                     -0.002096                       0.001140                       0.003969                      -0.004038                       0.003596                       0.007680                      -0.002405                       0.000091                       0.001000                       0.001828                       0.004699                      -0.011360                      -0.000797                       0.006617                      -0.002686                      -0.002542                       227.162242                     226.569739                     226.466354                      1.508444                       2.348638                       4.063780                      226.181793                     225.750550                     225.861875                      1.471369                       2.148971                       4.405514                      228.489357                     228.001999                     227.976381                      1.262845                       2.171981                       3.902699                      224.925593                     224.441725                     224.410308                      1.235214                       2.205388                       4.175606                      0.693268                       0.587596                       0.572629                       1.000000                       0.749922                       0.587596                       0.572629                       226.691966                     225.147626                     225.695216                     1.108944                       0.578632                       0.943777                       1.706248                       0.964509                       0.596855                       0.773120                       1.175053                       0.582873                       0.265871                       0.436831                       0.628140                       0.014908                       230.417878                    -0.003583                       0.004758                       0.004509                       0.003665                       227.240814                     226.372860                     226.176082                      1.982593                       2.352101                       4.408628                      1.602479                       1.719746                       0.962158                     
2024-11-25                      0.013051                       0.014908                       0.010966                       0.007367                       231.821518                     230.417878                     232.199812                     228.705621                      90152800                       3.494191                      0.005908                       0.003154                       0.013771                       0.006486                      -0.003583                       0.004758                       0.004509                       0.003665                       0.002433                      -0.000999                       0.009795                       0.005207                       0.010412                      -0.003397                       0.010056                       0.006509                       228.327061                     227.269976                     226.835675                      2.339833                       2.709264                       4.107805                      227.240814                     226.372860                     226.176082                      1.982593                       2.352101                       4.408628                      229.416971                     228.561707                     228.267652                      1.843705                       2.257623                       3.934825                      225.870600                     225.010245                     224.706537                      1.848824                       2.395452                       4.179731                      0.893222                       0.800669                       0.799244                       1.000000                       0.918549                       0.609132                       0.684604                       227.876297                     226.107108                     226.004482                     1.493464                       1.602479                       1.509374                       1.533419                       1.679992                       1.719746                       1.611475                       1.542663                       1.213749                       0.962158                       0.999323                       0.956780                       0.008079                       232.279457                     0.014908                       0.003596                       0.006133                       0.003652                       228.500475                     227.160406                     226.597004                      2.713770                       2.745549                       4.415281                      1.392521                       1.864491                       1.286997                     
2024-11-26                      0.009404                       0.008079                       0.009946                       0.015626                       234.001663                     232.279457                     234.509377                     232.279457                      45986200                       2.229920                      0.013051                      -0.002096                      -0.014109                      -0.003267                       0.014908                       0.003596                       0.006133                       0.003652                       0.010966                       0.001000                      -0.008520                       0.009466                       0.007367                      -0.000797                      -0.003245                       0.000226                       229.745712                     228.167535                     227.329881                      2.682050                       3.097052                       4.242579                      228.500475                     227.160406                     226.597004                      2.713770                       2.745549                       4.415281                      230.690072                     229.354730                     228.698116                      2.198193                       2.785303                       4.015878                      227.472814                     225.979473                     225.228807                      2.892220                       2.994584                       4.316145                      0.968325                       0.784615                       0.860882                       1.000000                       1.000000                       0.784615                       0.860882                       229.171404                     226.993408                     226.131118                     1.586828                       1.392521                       1.737475                       1.661922                       1.883768                       1.864491                       1.850660                       2.103793                       1.572577                       1.286997                       1.447071                       1.633552                       0.004886                       233.414333                     0.008079                      -0.003583                      -0.005079                       0.009074                       229.728939                     227.994263                     227.067165                      2.899044                       3.264208                       4.329130                      1.271244                       1.660455                       1.466153                     
2024-11-27                     -0.000553                       0.004886                       0.000509                       0.002057                       233.872253                     233.414333                     234.628841                     232.757301                      33498400                       1.871540                      0.009404                       0.005908                       0.013422                       0.021372                       0.008079                      -0.003583                      -0.005079                       0.009074                       0.009946                       0.002433                       0.012427                       0.008006                       0.015626                       0.010412                       0.004013                       0.015281                       230.777347                     228.928164                     227.781079                      2.984189                       3.582398                       4.252571                      229.728939                     227.994263                     227.067165                      2.899044                       3.264208                       4.329130                      231.674764                     230.057945                     229.107131                      2.580153                       3.218888                       4.003997                      228.793936                     226.883183                     225.748014                      3.382798                       3.619489                       4.319587                      0.953148                       0.877756                       0.924791                       1.000000                       1.000000                       0.811623                       0.884104                       230.003722                     227.462503                     226.174958                     1.037101                       1.271244                       1.144923                       1.171623                       1.380106                       1.660455                       1.420023                       1.622914                       1.432351                       1.466153                       1.379049                       1.622675                       0.001450                       233.752786                     0.004886                       0.014908                       0.007680                       0.012420                       230.734901                     228.762066                     227.528242                      2.968941                       3.754943                       4.362496                      1.016485                       1.329106                       1.426831                     
2024-11-29                      0.010216                       0.001450                       0.008995                       0.000684                       236.261444                     233.752786                     236.739279                     232.916572                      28481400                       3.822707                     -0.000553                       0.013051                       0.001140                      -0.001188                       0.004886                       0.014908                       0.007680                       0.012420                       0.000509                       0.010966                       0.001828                       0.004527                       0.002057                       0.007367                       0.006617                       0.009303                       232.148371                     229.905934                     228.365932                      3.422804                       4.226466                       4.329077                      230.734901                     228.762066                     227.528242                      2.968941                       3.754943                       4.362496                      232.940893                     230.948789                     229.633486                      3.123826                       3.828378                       4.081658                      229.824595                     227.687635                     226.242397                      3.645395                       4.121592                       4.305614                      0.973830                       0.752066                       0.836436                       1.000000                       1.000000                       0.682645                       0.790638                       230.793105                     227.894686                     226.271112                     1.201668                       1.016485                       1.215940                       0.848187                       1.503741                       1.329106                       1.512518                       1.268669                       1.823833                       1.426831                       1.740908                       1.550110                       0.010477                       236.201715                     0.001450                       0.008079                       0.004758                      -0.009552                       232.101604                     229.754019                     228.126413                      3.313468                       4.309601                       4.579576                      1.237408                       1.496124                       1.763330                     
2024-12-02                      0.009523                       0.010477                       0.012531                       0.013634                       238.511261                     236.201715                     239.705855                     236.092209                      48137100                       3.613646                      0.010216                       0.009404                       0.003154                      -0.012029                       0.001450                       0.008079                       0.004758                      -0.009552                       0.008995                       0.009946                      -0.000999                      -0.012945                       0.000684                       0.015626                      -0.003397                      -0.021686                       233.739094                     231.053311                     229.065610                      3.912649                       4.755025                       4.616736                      232.101604                     229.754019                     228.126413                      3.313468                       4.309601                       4.579576                      234.632134                     232.116398                     230.328132                      3.788169                       4.446501                       4.418546                      231.391498                     228.808245                     226.921694                      3.962090                       4.583174                       4.621339                      0.943719                       0.766579                       0.834908                       1.000000                       1.000000                       0.759284                       0.829749                       232.252832                     229.024342                     226.911797                     1.219677                       1.237408                       1.339360                       1.186422                       1.568435                       1.496124                       1.706838                       1.589284                       2.045959                       1.763330                       2.122355                       1.984385                       0.010705                       238.730285                     0.010477                       0.004886                       0.003596                      -0.002000                       233.758775                     230.950855                     228.857714                      3.797296                       4.927422                       4.969141                      1.309224                       1.578803                       1.986776                     
2024-12-03                      0.012772                       0.010705                       0.008181                       0.007337                       241.557495                     238.730285                     241.667000                     237.824379                      38861000                       3.842621                      0.009523                      -0.000553                      -0.002096                       0.000000                       0.010477                       0.004886                       0.003596                      -0.002000                       0.012531                       0.000509                       0.001000                      -0.000487                       0.013634                       0.002057                      -0.000797                       0.008397                       235.693694                     232.453869                     229.927119                      4.228797                       5.404812                       5.290015                      233.758775                     230.950855                     228.857714                      3.797296                       4.927422                       4.969141                      236.390850                     233.389812                     231.110123                      4.157120                       5.000980                       4.931672                      232.999718                     230.010396                     227.673604                      3.782045                       5.159198                       5.146597                      0.995277                       0.799320                       0.873344                       1.000000                       1.000000                       0.737415                       0.834274                       233.896910                     230.096897                     227.863491                     1.386636                       1.309224                       1.269184                       1.275675                       1.684356                       1.578803                       1.655113                       1.514573                       2.198553                       1.986776                       2.140628                       1.972327                       0.012760                       241.776509                     0.010705                       0.001450                      -0.003583                      -0.002405                       235.763208                     232.394275                     229.748666                      3.945332                       5.608185                       5.659399                      1.524156                       1.672954                       2.125286                     
